condomínio,casa,Latitude,Longitude,Area,Quartos,Vagas de estacionamento,Localização,Banheiros,Preço
0,1,"-27,67","-48,53",175 m²,2,2,"Rua Saul Silveira Penha, Carianos",2,1100000
0,1,"-27,65","-48,48",208 m²,3,2,"Rio Tavares, Florianópolis",4,2100000
1,0,"-27,59","-48,50",117 m²,3,1,"Rua Vereador Ramon Filomeno, Itacorubi",3,1100000
0,1,"-27,64","-48,52",84 m²,3,2,"Rua da Creche, Costeira do Pirajubaé",,350000
1,0,"-27,58","-48,54",240 m²,3,3,"Rua Comandante Constantino Nicolau Spyrides, Beira Mar",5,8500000
1,0,"-27,61","-48,59",94 m²,3,1,"Rua João Meirelles, Itaguaçu",2,750000
1,0,"-27,60","-48,60",71 m²,2,2,"Capoeiras, Florianópolis",2,550000
0,1,"-27,44","-48,41",99 m²,3,1,"Rodovia Armando Calil Bulos, Ingleses do Rio Vermelho",2,370000
1,0,"-27,60","-48,59",98 m²,4,1,"Rua São Cristóvão, Capoeiras",2,375000
1,0,"-27,57","-48,54",93 m²,2,2,"Boulevard Paulo Zimmer, Agronômica",3,1850000
1,0,"-27,46","-48,40",322 m²,4,4,"Rua Dário Manoel Cardoso, Ingleses do Rio Vermelho",5,2500000
1,0,"-27,61","-48,57",144 m²,4,2,"Rua Wilson Luz, Coqueiros",3,1360000
1,0,"-27,59","-48,50",71 m²,2,2,"Rodovia Amaro Antônio Vieira, Itacorubi",2,798000
1,0,"-27,53","-48,52",314 m²,4,4,"Cacupé, Florianópolis",4,6890000
1,0,"-27,42","-48,40",177 m²,3,2,"Rua Lázaro de Oliveira Souza, Ingleses do Rio Vermelho",4,1400000
1,0,"-27,60","-48,58",89 m²,2,1,"Avenida Engenheiro Max de Souza, Coqueiros",2,425000
1,0,"-27,59","-48,52",85 m²,3,1,"Rua Professor José Brasilicio de Souza, Trindade",3,650000
1,0,"-27,44","-48,51",107 m²,2,2,"Avenida das Lagostas, Jurerê Internacional",3,1139000
1,0,"-27,59","-48,55",158 m²,3,2,"Rua São Jorge, Centro",3,1400000
1,0,"-27,44","-48,50",197 m²,3,3,"Avenida dos Búzios, Jurerê Internacional",3,5800000
1,0,"-27,59","-48,91",65 m²,1,,"Rua Felipe Schmidt, Centro",,259420
1,0,"-27,59","-48,55",77 m²,3,2,"Avenida Rio Branco, Centro",2,1350000
1,0,"-27,59","-48,55",268 m²,2,3,"Rua Luiz Delfino, Centro",5,3190000
1,0,"-27,60","-48,60",46 m²,2,1,"Capoeiras, Florianópolis",1,229000
1,0,"-27,59","-48,55",38 m²,1,1,"Centro, Florianópolis",,360000
0,1,"-27,48","-48,41",76 m²,2,1,"Ingleses do Rio Vermelho, Florianópolis",3,495000
0,1,"-27,72","-48,56",65 m²,2,1,"Ribeirão da Ilha, Florianópolis",2,320000
1,0,"-26,77","-48,67",198 m²,3,2,"Rua São Pedro, Balneário",2,1300000
1,0,"-27,60","-48,58",130 m²,3,2,"Coqueiros, Florianópolis",2,795000
0,1,"-27,47","-48,41",89 m²,2,1,"Rua Brisamar, Ingleses do Rio Vermelho",2,670000
1,0,"-27,59","-48,55",224 m²,3,3,"Rua Santo Inácio de Loyola, Centro",5,3200000
1,0,"-27,59","-48,55",296 m²,3,3,"Centro, Florianópolis",5,2130000
1,0,"-27,44","-48,41",50 m²,2,1,"Rodovia Armando Calil Bulos, Ingleses do Rio Vermelho",,220000
1,0,"-27,47","-48,49",355 m²,4,3,"Jurerê, Florianópolis",5,2950000
0,1,"-27,59","-48,59",81 m²,2,2,"Rua Araci Vaz Callado, Canto",2,725000
0,1,"-27,61","-48,52",200 m²,4,2,"Rua Maria Eduarda, Pantanal",4,1400000
0,1,"-27,68","-48,56",150 m²,5,2,"Servidão Agra Filho, Tapera da Base",3,480000
0,1,"-27,72","-48,56",60 m²,1,1,"Ribeirão da Ilha, Florianópolis",1,202000
1,0,"-27,45","-48,38",85 m²,2,1,"Rua do Trinta - Réis, Ingleses do Rio Vermelho",3,950000
1,0,"-27,59","-48,52",99 m²,3,1,"Travessa São Lourenço de Brindes, Trindade",2,565000
0,1,"-27,45","-48,40",123 m²,3,1,"Servidão Valentim José da Silva, Ingleses do Rio Vermelho",4,550000
0,1,"-27,47","-48,41",60 m²,2,1,"Rua Mercúrio, Ingleses do Rio Vermelho",2,523950
1,0,"-27,58","-48,53",90 m²,2,1,"Agronômica, Florianópolis",2,1550000
1,0,"-27,58","-48,54",108 m²,3,1,"Rua Frei Caneca, Agronômica",4,1350000
1,0,"-27,61","-48,48",304 m²,3,4,"Avenida do Ipê-Amarelo, Lagoa da Conceição",6,3000000
1,0,"-27,65","-48,48",819 m²,,,"Rio Tavares, Florianópolis",,2750000
1,0,"-27,42","-48,43",151 m²,4,2,"Cachoeira do Bom Jesus, Florianópolis",,2250000
1,0,"-27,60","-48,51",37 m²,1,2,"Rua João Pio Duarte Silva, Córrego Grande",1,560000
1,0,"-27,58","-48,54",170 m²,3,2,"Agronômica, Florianópolis",5,4000000
0,1,"-27,59","-48,50",324 m²,4,4,"Rua Itapeva, Itacorubi",5,3500000
1,0,"-27,59","-48,59",284 m²,4,4,"Rua Araci Vaz Callado, Canto",4,1980000
1,0,"-27,44","-48,50",182 m²,3,2,"Avenida dos Búzios, Jurerê Internacional",3,3400000
1,0,"-27,43","-48,40",75 m²,2,1,"Rua Luiz Elias Daux, Ingleses do Rio Vermelho",1,495000
1,0,"-27,60","-48,58",185 m²,3,3,"Avenida Engenheiro Max de Souza, Coqueiros",3,1200000
1,0,"-27,70","-48,55",252 m²,3,2,"Beira Mar, Florianópolis",3,1500000
1,0,"-27,59","-48,50",116 m²,4,1,"Rua Vereador Ramon Filomeno, Parque São Jorge",3,1200000
1,0,"-27,58","-48,53",77 m²,2,2,"Rua Trajano Margarida, Trindade",2,1190051
0,1,"-27,60","-48,60",64 m²,2,2,"Capoeiras, Florianópolis",3,457088
1,0,"-27,59","-48,59",64 m²,2,1,"Rua Pedro Cunha, Capoeiras",2,630000
0,1,"-27,72","-48,56",50 m²,2,1,"Ribeirão da Ilha, Florianópolis",2,301525
1,0,"-27,57","-48,54",163 m²,3,2,"Boulevard Paulo Zimmer, Agronômica",4,3100000
1,0,"-27,60","-48,60",82 m²,2,1,"Rua João Meirelles, Abraão",2,699000
1,0,"-27,42","-48,43",318 m²,3,2,"Avenida Luiz Boiteux Piazza, Cachoeira do Bom Jesus",1,3100000
1,0,"-27,48","-48,41",172 m²,3,2,"Ingleses do Rio Vermelho, Florianópolis",3,2800000
1,0,"-27,58","-48,58",185 m²,3,3,"Rua Olavo Bilac, Canto",4,1800000
1,0,"-27,60","-48,60",159 m²,3,2,"Capoeiras, Florianópolis",4,763000
1,0,"-27,59","-48,50",74 m²,2,1,"Rodovia Amaro Antônio Vieira, Itacorubi",2,550000
0,1,"-27,45","-48,38",73 m²,2,2,"Servidão Leonel Domingos da Silva, Santinho",3,479000
1,0,"-27,45","-48,42",56 m²,2,1,"Estrada Anarolina Silveira Santos, Vargem do Bom Jesus",1,315000
0,1,"-27,58","-48,54",122 m²,3,3,"Rua Embaixador Edmundo da Luz Pinto, Agronômica",3,2200000
0,1,"-27,48","-48,41",234 m²,4,4,"Rua Candido Pereira dos Anjos, São João do Rio Vermelho",1,1290000
0,1,"-27,54","-48,50",99 m²,3,2,"Rodovia Virgílio Várzea, Saco Grande",2,1151598
1,0,"-27,59","-48,50",103 m²,3,2,"Avenida Buriti, Itacorubi",2,895000
0,1,"-27,59","-48,59",1050 m²,,,"Rua Padre Ely Luiz Nodari, Coloninha",,1300000
0,1,"-27,58","-48,54",180 m²,3,2,"Rua Rui Barbosa, Agronômica",4,2500000
0,1,"-27,45","-48,45",4174 m²,1,,"Rua Francisco Fausto Martins, Vargem Grande",,4000000
1,0,"-27,43","-48,41",226 m²,4,2,"Centro, Florianópolis",2,2050000
1,0,"-27,59","-48,58",348 m²,3,3,"Rua Doutor Heitor Blum, Estreito",4,2600000
0,1,"-27,46","-48,40",104 m²,2,2,"Rua Fernando Bauther da Silva, Ingleses do Rio Vermelho",3,599000
0,1,"-27,47","-48,46",1445 m²,,,"Servidão Acácio Vieira da Rosa, Vargem Pequena",,380000
1,0,"-27,51","-48,51",280 m²,3,4,"Rua Deputado Walter Gomes, Santo Antônio de Lisboa",5,2200000
1,0,"-27,57","-48,51",71 m²,2,1,"Rua Patrício Farias, Itacorubi",3,790000
0,1,"-27,58","-48,54",168 m²,2,,"Agronômica, Florianópolis",,280000
1,0,"-27,59","-48,46",284 m²,3,4,"Canto, Florianópolis",4,1980000
1,0,"-27,59","-48,55",69 m²,2,1,"Avenida Rio Branco, Centro",2,820000
0,1,"-27,59","-48,57",2080 m²,30,4,"Rua Fúlvio Aducci, Estreito",,1900000
0,1,"-27,53","-48,52",32 m²,1,1,"Estrada Haroldo Soares Glavan, Cacupé",1,365918
1,0,"-27,46","-48,38",75 m²,2,1,"Estrada Vereador Onildo Lemos, Santinho",2,461000
0,1,"-27,44","-48,47",76 m²,2,1,"Canasvieiras, Florianópolis",2,831961
1,0,"-27,59","-48,50",72 m²,2,1,"Avenida Buriti, Itacorubi",2,695000
0,1,"-27,48","-48,41",360 m²,3,5,"Ingleses do Rio Vermelho, Florianópolis",3,731000
1,0,"-27,58","-48,58",135 m²,3,2,"Balneário, Florianópolis",3,950000
1,0,"-27,60","-48,52",110 m²,3,3,"Rua Professor Simão José Hess, Trindade",3,850000
1,0,"-27,59","-48,50",71 m²,2,1,"Itacorubi, Florianópolis",2,720000
1,0,"-27,59","-48,50",67 m²,2,1,"Rodovia Amaro Antônio Vieira, Itacorubi",2,799000
1,0,"-27,44","-48,41",115 m²,3,1,"Rodovia Armando Calil Bulos, Ingleses do Rio Vermelho",3,522000
1,0,"-27,59","-48,50",93 m²,3,2,"Rodovia Amaro Antônio Vieira, Itacorubi",2,850000